SKU,Tên,Hãng,Nhóm,Series,KíchThước,PN,VậtLiệu,Giá,LinkẢnh,GhiChú
KTR-BOWEX-2,Bowex M,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-3,Bowex Junior,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-4,Bowex Junior M,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-5,Bowex M-C,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-6,Bowex Stainless Steel,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-7,Bowex I,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-8,Bowex AS,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-9,Bowex Special-I,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-10,Bowex SD(-D),KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-11,Bowex SD1,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-12,Bowex SG,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-13,Bowex SSG,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-14,Bowex Spec.-I(CD),KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-BOWEX-15,Bowex GT,KTR Germany,Khớp nối răng,Bowex,,,,,,
KTR-GEAREX,Gearex FA,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-2,Gearex FB,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-3,Gearex FAB,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-4,Gearex DA,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-5,Gearex DB,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-6,Gearex DAB,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-7,Gearex FH,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-8,Gearex FR,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-9,Gearex DR,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GEAREX-10,Gearex DH,KTR Germany,Khớp nối răng,Gearex,,,,,,
KTR-GGD,G-GD,KTR Germany,Khớp nối cardan,G-GD,,,,,,
KTR-GAHA,GA-HA,KTR Germany,Khớp nối cardan,GA-HA,,,,,,
KTR-GRHR,GR-HR,KTR Germany,Khớp nối cardan,GR-HR,,,,,,
KTR-HHD,H-HD,KTR Germany,Khớp nối cardan,H-HD,,,,,,
KTR-XXD,X-XD,KTR Germany,Khớp nối cardan,X-XD,,,,,,
KTR-KTRRADEXN,KTR Radex-N,KTR Germany,Khớp nối điện gió,KTR Radex-N,,,,,,
KTR-CLAMPEX,Clampex 105,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-2,Clampex 130,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-3,Clampex 131,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-4,Clampex 200,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-5,Clampex 201,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-6,Clampex 203,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-7,Clampex 206,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-8,Clampex 225,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-9,Clampex 250,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-10,Clampex 400,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-11,Clamping Nuts,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-12,Clampex 700,KTR Germany,Khớp khoá trục,Clampex,,,,,,
KTR-CLAMPEX-13,Clampex 603,KTR Germany,Thiết bị bóp trục,Clampex,,,,,,
KTR-CLAMPEX-14,Clampex 620,KTR Germany,Thiết bị bóp trục,Clampex,,,,,,
KTR-KTRTEMPERATURECONT,Filler Necks and Oil Level Sight Glasses,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-2,Temperature Probe TE-PT 100,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-3,NVT Level Temperature Switch,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-4,NVT-E Electronic Level Temperature Switch,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-5,TSC Temperature Switch,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-6,Tank Heaters EHP,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-7,Tank Heater EH,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-8,Tank Heater TEHM,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRTEMPERATURECONT-9,OTV Oil Temperature Valve,KTR Germany,Phụ kiện bơm thủy lực,KTR Temperature control and temperature monitoring,,,,,,
KTR-KTRBELLHOUSINGSDAM,Bellhousings Aluminium,KTR Germany,Phụ kiện bơm thủy lực,"KTR Bellhousings, damping elements and accessories",,,,,,
KTR-KTRBELLHOUSINGSDAM-2,Bellhousings PG,KTR Germany,Phụ kiện bơm thủy lực,"KTR Bellhousings, damping elements and accessories",,,,,,
KTR-KTRBELLHOUSINGSDAM-3,Bellhousings PSG,KTR Germany,Phụ kiện bơm thủy lực,"KTR Bellhousings, damping elements and accessories",,,,,,
KTR-KTRBELLHOUSINGSDAM-4,Bellhousings PS,KTR Germany,Phụ kiện bơm thủy lực,"KTR Bellhousings, damping elements and accessories",,,,,,
KTR-KTRTANKSANDACCESSO,Damping Elements DT/DTV/DTSV,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-2,Damping Ring Type D,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-3,Damping Rods,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-4,Accessories for Bellhousings,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-5,Foot Flanges Type PTFS,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-6,ZO Mounting Flanges and Gaskets,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-7,Elastic Flanges,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-8,BAK Aluminium Tank,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-9,BSK Steel Tank,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-10,BNK Steel Tank,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-11,BEK Steel Tank,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-12,Special Tank,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-13,Frames and Stands,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-KTRTANKSANDACCESSO-14,Special Sump Pans,KTR Germany,Phụ kiện bơm thủy lực,KTR Tanks and accessories,,,,,,
KTR-FLOATINGCALIPERBRA,KTR-STOP® XS-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-2,KTR-STOP® S-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-3,KTR-STOP® M-xxx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-4,KTR-STOP® XL-xxx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-5,KTR-STOP® XXL-xxxx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-6,EMB-STOP XS-P-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-7,EMB-STOP S-P-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-8,EMB-STOP M-P-xxx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-9,KTR-STOP® XS-A-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-10,KTR-STOP® S-A-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-11,KTR-STOP® M-A-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-12,EMB-STOP XS-A-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-13,EMB-STOP S-A-xx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FLOATINGCALIPERBRA-14,EMB-STOP L-A-xxx-F,KTR Germany,Phanh công nghiệp,Floating caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES,KTR-STOP XS-xx,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES-2,KTR-STOP S-xx,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES-3,KTR-STOP M-xxx,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES-4,KTR-STOP L light-xxx,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES-5,KTR-STOP L-xxx,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-FIXEDCALIPERBRAKES-6,KTR-STOP M-D,KTR Germany,Phanh công nghiệp,Fixed caliper brakes,,,,,,
KTR-YAWBRAKES,KTR-STOP® YAW XS,KTR Germany,Phanh công nghiệp,YAW brakes,,,,,,
KTR-YAWBRAKES-2,KTR-STOP® YAW S,KTR Germany,Phanh công nghiệp,YAW brakes,,,,,,
KTR-YAWBRAKES-3,KTR-STOP® YAW M,KTR Germany,Phanh công nghiệp,YAW brakes,,,,,,
KTR-YAWBRAKES-4,KTR-STOP® YAW L,KTR Germany,Phanh công nghiệp,YAW brakes,,,,,,
KTR-THRUSTERBRAKES,KTR-STOP® TB S,KTR Germany,Phanh công nghiệp,Thruster brakes,,,,,,
KTR-THRUSTERBRAKES-2,KTR-STOP® TB T,KTR Germany,Phanh công nghiệp,Thruster brakes,,,,,,
KTR-STOPBLOCKTURNBRAKE,STOP-BLOCK-TURN System,KTR Germany,Phanh công nghiệp,STOP-BLOCK-TURN brakes,,,,,,
KTR-ELECTRONICCONTROLS,INTELLIRAMP®,KTR Germany,Phanh công nghiệp,Electronic control system,,,,,,
KTR-ROTORLOCKLOCKINGPI,KTR-STOP® RL S,KTR Germany,Phanh công nghiệp,Rotor lock / locking pin,,,,,,
KTR-ROTORLOCKLOCKINGPI-2,KTR-STOP® RL M,KTR Germany,Phanh công nghiệp,Rotor lock / locking pin,,,,,,
KTR-ROTORLOCKLOCKINGPI-3,EMB-STOP RL S,KTR Germany,Phanh công nghiệp,Rotor lock / locking pin,,,,,,
KTR-ROTORLOCKLOCKINGPI-4,EMB-STOP RL M,KTR Germany,Phanh công nghiệp,Rotor lock / locking pin,,,,,,
KTR-CALIPERBRAKES,KTR-STOP® PB P-050-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-2,KTR-STOP® PB P-100-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-3,KTR-STOP® PB P-200-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-4,KTR-STOP® PB P-2xx-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-5,KTR-STOP® PB P-250-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-6,KTR-STOP® PB P-300-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-7,KTR-STOP® PB P-350-Pxx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-8,KTR-STOP® PB P-05x-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-9,KTR-STOP® PB P-100-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-10,KTR-STOP® PB P-200-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-11,KTR-STOP® PB P-2xx-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-12,KTR-STOP® PB P-250-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-13,KTR-STOP® PB P-300-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-CALIPERBRAKES-14,KTR-STOP® PB P-350-Axx-xx,KTR Germany,Phanh công nghiệp,Caliper brakes,,,,,,
KTR-BRAKECOMPONENTS,KTR-STOP® NBS,KTR Germany,Phanh công nghiệp,Brake Components,,,,,,
KTR-OILAIRCOOLER,OPC2,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-air Cooler,,,,,,
KTR-OILAIRCOOLER-2,OAC,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-air Cooler,,,,,,
KTR-OILAIRCOOLER-3,OPC,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-air Cooler,,,,,,
KTR-OILAIRCOOLER-4,PIK,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-air Cooler,,,,,,
KTR-OILWATERCOOLER,PHE,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-water Cooler,,,,,,
KTR-OILWATERCOOLER-2,TAK/TP,KTR Germany,Bộ làm mát dầu thuỷ lực,Oil-water Cooler,,,,,,
KTR-MMCCOMBINEDCOOLERM,MMC Customized Engine System Coolers,KTR Germany,Bộ làm mát dầu thuỷ lực,MMC combined cooler-mobile machinery cooler,,,,,,
KTR-MMCCOMBINEDCOOLERM-2,MMC Customized Hydraulic Cooler,KTR Germany,Bộ làm mát dầu thuỷ lực,MMC combined cooler-mobile machinery cooler,,,,,,
KTR-MMCCOMBINEDCOOLERM-3,MMC Customized Compressor Cooler,KTR Germany,Bộ làm mát dầu thuỷ lực,MMC combined cooler-mobile machinery cooler,,,,,,
RF-TNS,TNS,Ringfeder Germany,Cao su giảm chấn,TNS,,,,,,
RF-TNM,TNM,Ringfeder Germany,Cao su giảm chấn,TNM,,,,,,
RF-GWE,GWE,Ringfeder Germany,Cao su giảm chấn,GWE,,,,,,
RF-TNR,TNR,Ringfeder Germany,Cao su giảm chấn,TNR,,,,,,
RF-TNB,TNB,Ringfeder Germany,Cao su giảm chấn,TNB,,,,,,
RF-ELASTOMERJAWCOUPLI,TMM E,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-2,TMM G,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-3,TMM H,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-4,TMM ETW,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-5,TMM GTW,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-6,TMM EBT,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-7,TMM GBT,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-8,TMM GHBS,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-9,TMM LE,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-10,TMM LG,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNM,,,,,,
RF-ELASTOMERJAWCOUPLI-11,TNS S-St,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-12,TNS S-LSt,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-13,TNS S-BT,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-14,TNS SDD-5,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-15,TNS SDDL-5,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-16,TNS SDDL-5-BS,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-17,TNS SX,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-18,TNS SV,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNS,,,,,,
RF-ELASTOMERJAWCOUPLI-19,TNB BH,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
RF-ELASTOMERJAWCOUPLI-20,TNB BHD,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
RF-ELASTOMERJAWCOUPLI-21,TNB BHD-BS,Ringfeder Germany,Khớp nối linh hoạt,Elastomer Jaw Couplings TNB,,,,,,
